2024-08-29 15:36:58,495 INFO    MainThread:15620 [wandb_setup.py:_flush():77] Current SDK version is 0.17.8
2024-08-29 15:36:58,496 INFO    MainThread:15620 [wandb_setup.py:_flush():77] Configure stats pid to 15620
2024-08-29 15:36:58,496 INFO    MainThread:15620 [wandb_setup.py:_flush():77] Loading settings from C:\Users\a_ld7\.config\wandb\settings
2024-08-29 15:36:58,496 INFO    MainThread:15620 [wandb_setup.py:_flush():77] Loading settings from C:\Users\a_ld7\PycharmProjects\businessCardAI\wandb\settings
2024-08-29 15:36:58,496 INFO    MainThread:15620 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-08-29 15:36:58,496 INFO    MainThread:15620 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-08-29 15:36:58,496 INFO    MainThread:15620 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'app.py', 'program_abspath': 'C:\\Users\\a_ld7\\PycharmProjects\\businessCardAI\\app.py', 'program': 'C:\\Users\\a_ld7\\PycharmProjects\\businessCardAI\\app.py'}
2024-08-29 15:36:58,496 INFO    MainThread:15620 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-08-29 15:36:58,496 INFO    MainThread:15620 [wandb_init.py:_log_setup():524] Logging user logs to C:\Users\a_ld7\PycharmProjects\businessCardAI\wandb\run-20240829_153658-qcic0ao6\logs\debug.log
2024-08-29 15:36:58,496 INFO    MainThread:15620 [wandb_init.py:_log_setup():525] Logging internal logs to C:\Users\a_ld7\PycharmProjects\businessCardAI\wandb\run-20240829_153658-qcic0ao6\logs\debug-internal.log
2024-08-29 15:36:58,496 INFO    MainThread:15620 [wandb_init.py:init():607] calling init triggers
2024-08-29 15:36:58,496 INFO    MainThread:15620 [wandb_init.py:init():614] wandb.init called with sweep_config: {}
config: {}
2024-08-29 15:36:58,496 INFO    MainThread:15620 [wandb_init.py:init():657] starting backend
2024-08-29 15:36:58,497 INFO    MainThread:15620 [wandb_init.py:init():661] setting up manager
2024-08-29 15:36:58,498 INFO    MainThread:15620 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-08-29 15:36:58,501 INFO    MainThread:15620 [wandb_init.py:init():669] backend started and connected
2024-08-29 15:36:58,504 INFO    MainThread:15620 [wandb_init.py:init():767] updated telemetry
2024-08-29 15:36:58,506 INFO    MainThread:15620 [wandb_init.py:init():800] communicating run to backend with 90.0 second timeout
2024-08-29 15:36:59,762 INFO    MainThread:15620 [wandb_init.py:init():851] starting run threads in backend
2024-08-29 15:36:59,861 INFO    MainThread:15620 [wandb_run.py:_console_start():2463] atexit reg
2024-08-29 15:36:59,861 INFO    MainThread:15620 [wandb_run.py:_redirect():2309] redirect: wrap_raw
2024-08-29 15:36:59,861 INFO    MainThread:15620 [wandb_run.py:_redirect():2374] Wrapping output streams.
2024-08-29 15:36:59,861 INFO    MainThread:15620 [wandb_run.py:_redirect():2399] Redirects installed.
2024-08-29 15:36:59,864 INFO    MainThread:15620 [wandb_init.py:init():894] run started, returning control to user process
2024-08-29 15:37:09,546 WARNING MsgRouterThr:15620 [router.py:message_loop():77] message_loop has been closed
